County,location_type,gender,education_level,marital_status,adults,financially_excluded,age,is_youth,is_rural_youth
Meru,Rural,Female,None ,Widowed,>1 adult Household,0,85,0,0
Garissa,Urban,Male,None ,Married/Living with partner,>1 adult Household,0,48,0,0
Machakos,Urban,Male,Some primary ,Divorced/separated,1 adult Household,0,27,1,0
Nakuru,Rural,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,29,1,1
Nyeri,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,55,0,0
Kakamega,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,25,1,1
Murang'a,Rural,Female,Some primary ,Widowed,1 adult Household,0,81,0,0
Migori,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,40,0,0
Kirinyaga,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,0,60,0,0
Mombasa,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,59,0,0
Mombasa,Urban,Male,Primary completed,Single/Never Married,>1 adult Household,1,18,1,0
Uasin Gishu,Rural,Female,Primary completed,Single/Never Married,>1 adult Household,1,34,1,1
Kiambu,Rural,Female,Some secondary,Widowed,1 adult Household,0,70,0,0
Narok,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,30,1,1
Lamu,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,64,0,0
Kakamega,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,38,0,0
Turkana,Rural,Female,None ,Widowed,>1 adult Household,1,50,0,0
Nakuru,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,32,1,0
Kisumu,Rural,Female,None ,Widowed,1 adult Household,1,84,0,0
Siaya,Rural,Male,Some primary ,Single/Never Married,>1 adult Household,0,31,1,1
Isiolo,Urban,Female,None ,Widowed,>1 adult Household,0,40,0,0
Tana River,Urban,Male,Some primary ,Married/Living with partner,>1 adult Household,1,39,0,0
Nakuru,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,35,1,1
Nyeri,Urban,Female,Some secondary,Single/Never Married,>1 adult Household,1,18,1,0
Trans Nzoia,Rural,Male,Some primary ,Single/Never Married,>1 adult Household,0,27,1,1
Nyamira,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,1,26,1,1
Migori,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,59,0,0
Makueni,Rural,Male,Some secondary,Single/Never Married,>1 adult Household,0,18,1,1
Garissa,Rural,Female,None ,Married/Living with partner,>1 adult Household,0,56,0,0
Nyeri,Rural,Male,Some primary ,Single/Never Married,>1 adult Household,1,56,0,0
Homabay,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,55,0,0
Nyamira,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,45,0,0
Makueni,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,40,0,0
Baringo,Urban,Female,Some technical training after secondary school,Single/Never Married,>1 adult Household,0,20,1,0
Mandera,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,40,0,0
Meru,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,26,1,1
Mombasa,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,52,0,0
Tharaka-Nithi,Rural,Female,Secondary completed ,Single/Never Married,1 adult Household,0,27,1,1
Marsabit,Urban,Male,Some primary ,Married/Living with partner,>1 adult Household,0,24,1,0
Nairobi City,Urban,Female,Secondary completed ,Divorced/separated,1 adult Household,0,21,1,0
Migori,Rural,Female,Some primary ,Widowed,1 adult Household,0,60,0,0
Busia,Rural,Male,Secondary completed ,Single/Never Married,>1 adult Household,1,18,1,1
Nyamira,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,36,0,0
Nyeri,Urban,Female,Secondary completed ,Divorced/separated,1 adult Household,0,34,1,0
Kajiado,Rural,Female,Secondary completed ,Single/Never Married,>1 adult Household,0,23,1,1
Nairobi City,Urban,Male,Primary completed,Single/Never Married,1 adult Household,0,26,1,0
Marsabit,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,50,0,0
Nakuru,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,31,1,0
Laikipia,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,30,1,0
